datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
2008-08-27 13:00:00,selfridge air national guard,mi,,disk,120,few minutes,I witness a silver UFO @ approx 1:00pm EST basically above the Selfridge Air National Gaurd base in Michigan.  Date: Saturday&#44 August 2,2008-10-31,42.609586,-82.819409
2008-08-27 14:36:00,toledo,oh,us,disk,240,4 min,i saw a ufo in toledo that i cant explain,2008-10-31,41.6638889,-83.5552778
2008-08-27 16:00:00,niagara falls (canada),on,ca,formation,10,10 seconds,Formation of about 7 disc shape objects fly north to South in Niagara Falls North End.,2008-10-31,43.1,-79.05
2008-08-27 19:00:00,wichita county,tx,,diamond,4500,1 hour&#44 15 min.,On Saturday evening&#44 27 Sep 08 between the hours of 7:00 &#8211; 8:15 P.M.&#44 my wife and I noticed an unknown object emitting an extremely bri,2008-10-31,33.930965,-98.748117
2008-08-27 19:45:00,atlantic city,nj,us,light,240,4 minutes,12 lighted objects in four formations appeared from the cloud cover,2008-10-31,39.3641667,-74.4233333
2008-08-27 20:00:00,post,tx,us,light,1800,30 minuts,light sitting in one place high in the sky for thirty minuts that i saw but others said all day&#44 i watched light slowly leave.9-27-08,2008-10-31,33.1908333,-101.3777778
2008-08-27 20:45:00,langhorne,pa,us,other,6,6sec,A boomerang object with a baby blue aura surrounding it hovering above Oxford Valley Mall in Langhorne Pa.,2008-10-31,40.1744444,-74.9230556
2008-08-27 21:06:00,new port richey,fl,us,diamond,120,2 min,Black diamond UFO being chased by small plane.,2008-10-31,28.2438889,-82.7194444
2008-08-27 21:11:00,new fairfield,ct,us,light,60,1 minute,Possible Hiperformance Spy Craft and Mother Ship,2008-10-31,41.4663889,-73.4861111
2008-08-27 22:00:00,clear lake,wa,us,triangle,300,5 minutes,Triangular shaped UFOs,2013-07-03,48.4644444,-122.2327778
2009-08-27 00:30:00,brookville,in,us,light,180,2-3 minutes,2 bright lights moving E to W at 45 deg. in the sky.They spread&#44 shrank &amp; faded away never going over the horizon but away from Earth.,2009-12-12,39.4230556,-85.0127778
2009-08-27 00:46:00,woodinville,wa,us,circle,1,1 seconds,A white color circle light flying low to the ground with a black circle in the middle of the white one,2009-08-28,47.7544444,-122.1622222
2009-08-27 11:00:00,wheaton,il,us,cigar,120,2 minutes,Large Cigar shaped object in Wheaton IL quickly disappears in the clear sky after cartwheeling north for a minute or two.,2009-12-12,41.8661111,-88.1069444
2009-08-27 21:00:00,camas,wa,us,light,2,2 sec,Bright&#44 white light moving quickly across the sky in Camas&#44 WA.,2009-12-12,45.5872222,-122.3983333
2009-08-27 21:00:00,modesto,ca,us,light,1200,15-20 minutes,3 unidentified aircraft over Modesto&#44 CA,2009-08-28,37.6391667,-120.9958333
2009-08-27 21:00:00,parkersburg,wv,us,unknown,240,approx. 4 min.,Object made 3 - 90 degree turns and then disappeared.,2009-08-28,39.2666667,-81.5616667
2009-08-27 21:20:00,farmington,mo,us,light,600,10 mins.,Swirling&#44 white orbs flying in random patters over Farmington Missouri.,2009-12-12,37.7808333,-90.4216667
2009-08-27 22:00:00,el paso (east side),tx,us,other,180,2-3 minutes,3 unknown objects moving across the el paso sky,2009-08-28,31.7586111,-106.4863889
2009-08-27 22:00:00,niagara falls,ny,us,cigar,1200,20 min,Object viewed from observation tower at Niagara Falls NY&#44 cigar shaped&#44 with row of lights on side and light on each end.,2009-12-12,43.0944444,-79.0569444
2009-08-27 22:00:00,san diego,ca,us,fireball,120,2 mins,burning fireball in sky mistook for moon&#33,2009-12-12,32.7152778,-117.1563889
2009-08-27 22:15:00,san rafael,ca,us,light,3,3 seconds,Still light object accelerates to right in night sky and disappears.,2009-12-12,37.9736111,-122.53
